"Humidity","Temperature","Air_Pressure","Precipitation"
"81","29.2","101.04","Light_Rain"
"83","27.9","101.07","Light_Rain"
"85","27.8","101.04","Light_Rain"
"77","29.4","100.9","Light_Rain"
"79","29.2","100.9","Light_Rain"
"75","29.7","101.02","Light_Rain"
"77","29.5","101.09","Light_Rain"
"76","29.1","101.05","Light_Rain"
"76","29.2","100.98","Light_Rain"
"73","29.6","101.03","Light_Rain"
"75","29.6","100.97","Light_Rain"
"81","28.4","100.93","Light_Rain"
"80","28.4","100.92","Light_Rain"
"79","28.4","101","Light_Rain"
"80","28","101.05","Light_Rain"
"75","29.2","100.94","Light_Rain"
"74","28.6","100.96","Light_Rain"
"77","28.5","101.06","Light_Rain"
"76","28.6","101.16","Light_Rain"
"73","29.1","101.12","Moderate_Rain"
"72","28.8","101.02","Light_Rain"
"86","25.6","101.01","Heavy_Rain"
"80","26.9","100.96","Light_Rain"
"79","28.4","100.89","Light_Rain"
"78","28.7","100.91","Light_Rain"
"73","28.7","100.95","Light_Rain"
"77","28.7","100.82","Light_Rain"
"76","29.1","100.81","Light_Rain"
"77","28.8","100.91","Light_Rain"
"74","29.3","100.96","Light_Rain"
"80","28.4","101.05","Light_Rain"
"76","28.9","101.04","Light_Rain"
"76","29.3","100.92","Light_Rain"
"86","27.9","100.89","Moderate_Rain"
"88","26.3","100.93","Light_Rain"
"81","28.4","100.84","Light_Rain"
"86","27.3","100.84","Light_Rain"
"87","27.1","100.89","Moderate_Rain"
"84","28.2","100.99","Light_Rain"
"80","28.9","100.98","Light_Rain"
"77","29.3","100.91","Light_Rain"
"78","29.1","100.89","Light_Rain"
"80","29.2","101","Light_Rain"
"78","29.4","100.98","Light_Rain"
"80","29","100.88","Light_Rain"
"78","29.3","100.83","Light_Rain"
"79","29.1","100.89","Light_Rain"
"80","28.4","101.05","Moderate_Rain"
"80","28.4","101.06","Light_Rain"
"72","28.8","101.01","Light_Rain"
"70","28.4","101.02","Light_Rain"
"75","28.4","101.02","Light_Rain"
"73","29.3","101.03","Light_Rain"
"81","27.8","101.06","Light_Rain"
"81","28.5","101.04","Light_Rain"
"71","29.1","101.04","Light_Rain"
"77","28.5","101.02","Moderate_Rain"
"76","28.9","100.97","Light_Rain"
"77","28.8","100.99","Light_Rain"
"78","28.8","101.09","Light_Rain"
"75","29.1","101","Light_Rain"
"77","28.8","100.95","Light_Rain"
"82","27.8","100.91","Moderate_Rain"
"90","26.3","100.94","Violent_Rain"
"81","27.6","100.96","Light_Rain"
"77","28.5","100.91","Light_Rain"
"78","28.7","100.98","Light_Rain"
"89","26.4","101.08","Moderate_Rain"
"86","27.7","101.01","Moderate_Rain"
"84","26.9","100.9","Light_Rain"
"82","28.4","100.85","Light_Rain"
"90","27","100.95","Violent_Rain"
"87","26.5","101.03","Light_Rain"
"81","28.2","100.9","Light_Rain"
"82","28.6","100.94","Light_Rain"
"84","27.4","101.02","Light_Rain"
"83","27.9","101.07","Light_Rain"
"91","26.2","101.21","Moderate_Rain"
"89","25.9","101.17","Heavy_Rain"
"79","28.5","101","Moderate_Rain"
"84","26.7","101.14","Light_Rain"
"83","27.7","101.25","Light_Rain"
"82","28.1","101.22","Light_Rain"
"76","28.3","101.08","Light_Rain"
"77","28.6","101.07","Light_Rain"
"81","28.1","101.17","Light_Rain"
"82","27.5","101.17","Light_Rain"
"85","27.5","101.14","Light_Rain"
"80","27.9","101.13","Light_Rain"
"79","27.8","101.13","Light_Rain"
"78","27.9","101.12","Light_Rain"
"76","28.7","101.05","Light_Rain"
"86","27.3","101.07","Heavy_Rain"
"92","26.3","101","Violent_Rain"
"88","26.5","100.91","Light_Rain"
"85","27.7","100.94","Light_Rain"
"78","28.6","101.02","Light_Rain"
"84","27.5","101.05","Light_Rain"
"85","27.6","101","Light_Rain"
"85","27.3","100.96","Light_Rain"
"85","26.7","101.03","Light_Rain"
"84","27.1","101.02","Light_Rain"
"82","28","101.09","Light_Rain"
"83","27.7","101.14","Light_Rain"
"88","26.7","101.15","Heavy_Rain"
"85","27.4","101.09","Light_Rain"
"79","28.5","101.06","Light_Rain"
"80","28.4","101.06","Light_Rain"
"82","28.4","101.03","Light_Rain"
"87","28","100.91","Light_Rain"
"78","28.8","100.86","Light_Rain"
"80","28.6","100.91","Light_Rain"
"79","28.9","100.96","Light_Rain"
"76","28.4","100.93","Light_Rain"
"78","27.8","100.89","Light_Rain"
"80","28.1","100.86","Light_Rain"
"79","28.3","100.83","Light_Rain"
"88","26.2","100.93","Heavy_Rain"
"89","25.9","101.05","Light_Rain"
"85","26","101.09","Light_Rain"
"88","25.6","101.22","Light_Rain"
"84","26.5","101.22","Light_Rain"
"83","26.7","101.13","Light_Rain"
"79","27.4","101.05","Light_Rain"
"81","27.1","101.05","Light_Rain"
"86","26.1","101.03","Heavy_Rain"
"84","26.3","100.97","Light_Rain"
"81","26.9","100.98","Light_Rain"
"76","27.9","100.95","Light_Rain"
"80","27.8","100.88","Light_Rain"
"79","28.3","100.81","Light_Rain"
"78","28.5","100.76","Light_Rain"
"79","28.8","100.81","Light_Rain"
"81","28.1","100.88","Light_Rain"
"76","28.4","100.88","Light_Rain"
"86","27","100.93","Heavy_Rain"
"81","27.6","101.07","Light_Rain"
"83","26.6","101.13","Light_Rain"
"81","27.2","101.12","Light_Rain"
"85","26.7","101.1","Light_Rain"
"83","26.8","101.05","Light_Rain"
"91","25.5","101.07","Light_Rain"
"85","26.3","101.11","Light_Rain"
"89","26.1","101.16","Light_Rain"
"91","25.6","101.07","Moderate_Rain"
"87","25.6","100.99","Moderate_Rain"
"82","26.8","100.99","Heavy_Rain"
"82","26.9","101.11","Moderate_Rain"
"84","26.2","101.16","Light_Rain"
"86","26.2","101.14","Light_Rain"
"89","25.7","101.21","Light_Rain"
"82","26.6","101.18","Light_Rain"
"82","27.1","101.1","Light_Rain"
"83","26.7","101.12","Light_Rain"
"87","26.1","101.18","Light_Rain"
"84","26.8","101.13","Light_Rain"
"86","26.8","101.07","Light_Rain"
"90","25.7","101.02","Light_Rain"
"86","26.2","101.01","Moderate_Rain"
"94","25.1","101.07","Moderate_Rain"
"86","26.7","101.01","Moderate_Rain"
"88","26.3","101.05","Moderate_Rain"
"91","26.2","101.07","Light_Rain"
"93","25.4","101.15","Heavy_Rain"
"86","26.2","101.1","Moderate_Rain"
"84","27","100.95","Light_Rain"
"90","25.8","100.99","Violent_Rain"
"89","25.9","100.98","Heavy_Rain"
"84","27.1","100.95","Light_Rain"
"82","26.6","101.03","Light_Rain"
"89","25.5","101.14","Heavy_Rain"
"97","24.1","101.12","Heavy_Rain"
"90","25.7","101.09","Heavy_Rain"
"99","23.3","101.17","Heavy_Rain"
"99","23.1","101.17","Violent_Rain"
"95","24.4","101.12","Heavy_Rain"
"93","24.8","101.14","Light_Rain"
"92","24.8","101.11","Moderate_Rain"
"87","25.9","101.08","Light_Rain"
"87","26.6","101.1","Light_Rain"
"87","27.1","101.08","Light_Rain"
"88","26.6","101.04","Heavy_Rain"
"94","25.5","101.04","Heavy_Rain"
"90","26.5","100.96","Light_Rain"
"91","26.5","100.83","Moderate_Rain"
"89","26.7","100.76","Light_Rain"
"94","25.5","100.81","Heavy_Rain"
"93","25.3","100.81","Moderate_Rain"
"93","25.4","100.85","Heavy_Rain"
